Period,Country,kmeans
2020-Dec-11,AFG,0
2020-Dec-11,ALB,2
2020-Dec-11,DZA,0
2020-Dec-11,AND,2
2020-Dec-11,AGO,0
2020-Dec-11,ATG,0
2020-Dec-11,ARG,2
2020-Dec-11,ARM,2
2020-Dec-11,AUS,2
2020-Dec-11,AUT,2
2020-Dec-11,AZE,0
2020-Dec-11,BHS,0
2020-Dec-11,BHR,0
2020-Dec-11,BGD,0
2020-Dec-11,BRB,0
2020-Dec-11,BLR,2
2020-Dec-11,BEL,2
2020-Dec-11,BLZ,0
2020-Dec-11,BEN,0
2020-Dec-11,BTN,0
2020-Dec-11,BOL,0
2020-Dec-11,BIH,2
2020-Dec-11,BWA,0
2020-Dec-11,BRA,2
2020-Dec-11,BRN,0
2020-Dec-11,BGR,2
2020-Dec-11,BFA,0
2020-Dec-11,BDI,0
2020-Dec-11,KHM,0
2020-Dec-11,CMR,0
2020-Dec-11,CAN,2
2020-Dec-11,CPV,0
2020-Dec-11,CAF,0
2020-Dec-11,TCD,0
2020-Dec-11,CHL,2
2020-Dec-11,CHN,0
2020-Dec-11,COL,0
2020-Dec-11,COM,0
2020-Dec-11,COG,0
2020-Dec-11,CRI,0
2020-Dec-11,CIV,0
2020-Dec-11,HRV,2
2020-Dec-11,CUB,0
2020-Dec-11,CYP,2
2020-Dec-11,CZE,2
2020-Dec-11,COD,0
2020-Dec-11,DNK,2
2020-Dec-11,DJI,0
2020-Dec-11,DMA,0
2020-Dec-11,DOM,0
2020-Dec-11,ECU,0
2020-Dec-11,EGY,0
2020-Dec-11,SLV,0
2020-Dec-11,GNQ,0
2020-Dec-11,ERI,0
2020-Dec-11,EST,2
2020-Dec-11,SWZ,0
2020-Dec-11,ETH,0
2020-Dec-11,FJI,0
2020-Dec-11,FIN,2
2020-Dec-11,FRA,2
2020-Dec-11,GAB,0
2020-Dec-11,GMB,0
2020-Dec-11,GEO,2
2020-Dec-11,DEU,2
2020-Dec-11,GHA,0
2020-Dec-11,GRC,2
2020-Dec-11,GRD,0
2020-Dec-11,GTM,0
2020-Dec-11,GIN,0
2020-Dec-11,GNB,0
2020-Dec-11,GUY,0
2020-Dec-11,HTI,0
2020-Dec-11,HND,0
2020-Dec-11,HKG,0
2020-Dec-11,HUN,2
2020-Dec-11,ISL,2
2020-Dec-11,IND,0
2020-Dec-11,IDN,0
2020-Dec-11,IRN,0
2020-Dec-11,IRQ,0
2020-Dec-11,IRL,2
2020-Dec-11,ISR,2
2020-Dec-11,ITA,2
2020-Dec-11,JAM,0
2020-Dec-11,JPN,2
2020-Dec-11,JOR,0
2020-Dec-11,KAZ,0
2020-Dec-11,KEN,0
2020-Dec-11,KWT,0
2020-Dec-11,KGZ,0
2020-Dec-11,LAO,0
2020-Dec-11,LVA,2
2020-Dec-11,LBN,2
2020-Dec-11,LSO,0
2020-Dec-11,LBR,0
2020-Dec-11,LBY,0
2020-Dec-11,LIE,0
2020-Dec-11,LTU,2
2020-Dec-11,LUX,2
2020-Dec-11,MDG,0
2020-Dec-11,MWI,0
2020-Dec-11,MYS,0
2020-Dec-11,MDV,0
2020-Dec-11,MLI,0
2020-Dec-11,MLT,2
2020-Dec-11,MHL,0
2020-Dec-11,MRT,0
2020-Dec-11,MUS,0
2020-Dec-11,MEX,0
2020-Dec-11,MDA,2
2020-Dec-11,MCO,0
2020-Dec-11,MNG,0
2020-Dec-11,MNE,2
2020-Dec-11,MAR,0
2020-Dec-11,MOZ,0
2020-Dec-11,MMR,0
2020-Dec-11,NAM,0
2020-Dec-11,NPL,0
2020-Dec-11,NLD,2
2020-Dec-11,NZL,2
2020-Dec-11,NIC,0
2020-Dec-11,NER,0
2020-Dec-11,NGA,0
2020-Dec-11,MKD,2
2020-Dec-11,NOR,2
2020-Dec-11,OMN,0
2020-Dec-11,PAK,0
2020-Dec-11,PSE,0
2020-Dec-11,PAN,2
2020-Dec-11,PNG,0
2020-Dec-11,PRY,0
2020-Dec-11,PER,0
2020-Dec-11,PHL,0
2020-Dec-11,POL,2
2020-Dec-11,PRT,2
2020-Dec-11,QAT,0
2020-Dec-11,ROU,2
2020-Dec-11,RUS,2
2020-Dec-11,RWA,0
2020-Dec-11,KNA,0
2020-Dec-11,LCA,0
2020-Dec-11,VCT,0
2020-Dec-11,WSM,0
2020-Dec-11,SMR,0
2020-Dec-11,STP,0
2020-Dec-11,SAU,0
2020-Dec-11,SEN,0
2020-Dec-11,SRB,2
2020-Dec-11,SYC,0
2020-Dec-11,SLE,0
2020-Dec-11,SGP,2
2020-Dec-11,SVK,2
2020-Dec-11,SVN,2
2020-Dec-11,SLB,0
2020-Dec-11,SOM,0
2020-Dec-11,ZAF,0
2020-Dec-11,KOR,2
2020-Dec-11,SSD,0
2020-Dec-11,ESP,2
2020-Dec-11,LKA,0
2020-Dec-11,SDN,0
2020-Dec-11,SUR,0
2020-Dec-11,SWE,2
2020-Dec-11,CHE,2
2020-Dec-11,SYR,0
2020-Dec-11,TWN,0
2020-Dec-11,TJK,0
2020-Dec-11,TZA,0
2020-Dec-11,THA,0
2020-Dec-11,TLS,0
2020-Dec-11,TGO,0
2020-Dec-11,TTO,0
2020-Dec-11,TUN,0
2020-Dec-11,TUR,2
2020-Dec-11,UGA,0
2020-Dec-11,UKR,2
2020-Dec-11,ARE,0
2020-Dec-11,GBR,2
2020-Dec-11,USA,2
2020-Dec-11,URY,2
2020-Dec-11,UZB,0
2020-Dec-11,VUT,0
2020-Dec-11,VAT,0
