Period,Country,kmeans
2020-Dec-10,AFG,2
2020-Dec-10,ALB,0
2020-Dec-10,DZA,0
2020-Dec-10,AND,0
2020-Dec-10,AGO,2
2020-Dec-10,AIA,2
2020-Dec-10,ATG,2
2020-Dec-10,ARG,0
2020-Dec-10,ARM,0
2020-Dec-10,ABW,2
2020-Dec-10,AUS,0
2020-Dec-10,AUT,1
2020-Dec-10,AZE,0
2020-Dec-10,BHS,0
2020-Dec-10,BHR,0
2020-Dec-10,BGD,0
2020-Dec-10,BRB,0
2020-Dec-10,BLR,0
2020-Dec-10,BEL,1
2020-Dec-10,BLZ,0
2020-Dec-10,BEN,2
2020-Dec-10,BMU,2
2020-Dec-10,BTN,0
2020-Dec-10,BOL,0
2020-Dec-10,BES,2
2020-Dec-10,BIH,0
2020-Dec-10,BWA,0
2020-Dec-10,BRA,0
2020-Dec-10,VGB,2
2020-Dec-10,BRN,2
2020-Dec-10,BGR,1
2020-Dec-10,BFA,2
2020-Dec-10,BDI,2
2020-Dec-10,KHM,0
2020-Dec-10,CMR,2
2020-Dec-10,CAN,0
2020-Dec-10,CPV,0
2020-Dec-10,CYM,2
2020-Dec-10,CAF,2
2020-Dec-10,TCD,2
2020-Dec-10,CHL,0
2020-Dec-10,CHN,0
2020-Dec-10,COL,0
2020-Dec-10,COM,2
2020-Dec-10,COG,0
2020-Dec-10,CRI,0
2020-Dec-10,CIV,2
2020-Dec-10,HRV,1
2020-Dec-10,CUB,0
2020-Dec-10,CUW,2
2020-Dec-10,CYP,0
2020-Dec-10,CZE,1
2020-Dec-10,COD,2
2020-Dec-10,DNK,1
2020-Dec-10,DJI,2
2020-Dec-10,DMA,2
2020-Dec-10,DOM,0
2020-Dec-10,ECU,0
2020-Dec-10,EGY,0
2020-Dec-10,SLV,0
2020-Dec-10,GNQ,2
2020-Dec-10,ERI,2
2020-Dec-10,EST,0
2020-Dec-10,SWZ,0
2020-Dec-10,ETH,2
2020-Dec-10,FRO,2
2020-Dec-10,FLK,2
2020-Dec-10,FJI,0
2020-Dec-10,FIN,0
2020-Dec-10,FRA,1
2020-Dec-10,PYF,2
2020-Dec-10,GAB,0
2020-Dec-10,GMB,2
2020-Dec-10,GEO,0
2020-Dec-10,DEU,1
2020-Dec-10,GHA,0
2020-Dec-10,GIB,2
2020-Dec-10,GRC,1
2020-Dec-10,GRL,2
2020-Dec-10,GRD,2
2020-Dec-10,GUM,2
2020-Dec-10,GTM,0
2020-Dec-10,GIN,2
2020-Dec-10,GNB,2
2020-Dec-10,GUY,0
2020-Dec-10,HTI,0
2020-Dec-10,HND,0
2020-Dec-10,HKG,0
2020-Dec-10,HUN,1
2020-Dec-10,ISL,0
2020-Dec-10,IND,0
2020-Dec-10,IDN,0
2020-Dec-10,IRN,0
2020-Dec-10,IRQ,0
2020-Dec-10,IRL,0
2020-Dec-10,IMN,2
2020-Dec-10,ISR,0
2020-Dec-10,ITA,1
2020-Dec-10,JAM,0
2020-Dec-10,JPN,0
2020-Dec-10,JOR,0
2020-Dec-10,KAZ,0
2020-Dec-10,KEN,2
2020-Dec-10,KWT,0
2020-Dec-10,KGZ,0
2020-Dec-10,LAO,0
2020-Dec-10,LVA,0
2020-Dec-10,LBN,0
2020-Dec-10,LSO,0
2020-Dec-10,LBR,2
2020-Dec-10,LBY,0
2020-Dec-10,LIE,2
2020-Dec-10,LTU,1
2020-Dec-10,LUX,1
2020-Dec-10,MAC,2
2020-Dec-10,MDG,2
2020-Dec-10,MWI,2
2020-Dec-10,MYS,0
2020-Dec-10,MDV,0
2020-Dec-10,MLI,2
2020-Dec-10,MLT,0
2020-Dec-10,MHL,2
2020-Dec-10,MRT,2
2020-Dec-10,MUS,0
2020-Dec-10,MEX,0
2020-Dec-10,MDA,0
2020-Dec-10,MCO,2
2020-Dec-10,MNG,0
2020-Dec-10,MNE,0
2020-Dec-10,MSR,2
2020-Dec-10,MAR,0
2020-Dec-10,MOZ,2
2020-Dec-10,MMR,0
2020-Dec-10,NAM,0
2020-Dec-10,NPL,0
2020-Dec-10,NLD,1
2020-Dec-10,NCL,2
2020-Dec-10,NZL,0
2020-Dec-10,NIC,2
2020-Dec-10,NER,2
2020-Dec-10,NGA,0
2020-Dec-10,PRK,2
2020-Dec-10,MKD,0
2020-Dec-10,MNP,2
2020-Dec-10,NOR,0
2020-Dec-10,OMN,0
2020-Dec-10,PAK,0
2020-Dec-10,PSE,0
2020-Dec-10,PAN,0
2020-Dec-10,PNG,0
2020-Dec-10,PRY,0
2020-Dec-10,PER,0
2020-Dec-10,PHL,0
2020-Dec-10,POL,1
2020-Dec-10,PRT,1
2020-Dec-10,PRI,2
2020-Dec-10,QAT,0
2020-Dec-10,ROU,1
2020-Dec-10,RUS,0
2020-Dec-10,RWA,0
2020-Dec-10,SHN,2
2020-Dec-10,KNA,2
2020-Dec-10,LCA,0
2020-Dec-10,SPM,2
2020-Dec-10,VCT,2
2020-Dec-10,WSM,2
2020-Dec-10,SMR,2
2020-Dec-10,STP,2
2020-Dec-10,SAU,0
2020-Dec-10,SEN,2
2020-Dec-10,SRB,0
2020-Dec-10,SYC,0
2020-Dec-10,SLE,2
2020-Dec-10,SGP,0
2020-Dec-10,SVK,1
2020-Dec-10,SVN,1
2020-Dec-10,SLB,2
2020-Dec-10,SOM,2
2020-Dec-10,ZAF,0
2020-Dec-10,KOR,0
2020-Dec-10,SSD,2
2020-Dec-10,ESP,1
2020-Dec-10,LKA,0
2020-Dec-10,SDN,2
2020-Dec-10,SUR,0
2020-Dec-10,SWE,1
2020-Dec-10,CHE,1
2020-Dec-10,SYR,0
2020-Dec-10,TWN,2
2020-Dec-10,TJK,0
2020-Dec-10,TZA,2
2020-Dec-10,THA,0
2020-Dec-10,TLS,0
2020-Dec-10,TGO,2
2020-Dec-10,TTO,0
2020-Dec-10,TUN,0
2020-Dec-10,TUR,0
2020-Dec-10,TCA,2
2020-Dec-10,UGA,2
2020-Dec-10,UKR,0
2020-Dec-10,ARE,0
2020-Dec-10,GBR,1
2020-Dec-10,USA,1
2020-Dec-10,VIR,2
2020-Dec-10,URY,0
2020-Dec-10,UZB,0
2020-Dec-10,VUT,2
2020-Dec-10,VAT,2
2020-Dec-10,VEN,0
2020-Dec-10,VNM,0
2020-Dec-10,WLF,2
2020-Dec-10,YEM,2
2020-Dec-10,ZMB,2
2020-Dec-10,ZWE,0
2021-May-19,AFG,2
2021-May-19,ALB,0
2021-May-19,DZA,0
2021-May-19,AND,0
2021-May-19,AGO,2
2021-May-19,AIA,2
2021-May-19,ATG,2
2021-May-19,ARG,1
2021-May-19,ARM,0
2021-May-19,ABW,2
2021-May-19,AUS,0
2021-May-19,AUT,1
2021-May-19,AZE,0
2021-May-19,BHS,0
2021-May-19,BHR,0
2021-May-19,BGD,0
2021-May-19,BRB,0
2021-May-19,BLR,0
2021-May-19,BEL,1
2021-May-19,BLZ,0
2021-May-19,BEN,2
2021-May-19,BMU,2
2021-May-19,BTN,0
2021-May-19,BOL,0
2021-May-19,BES,2
2021-May-19,BIH,0
2021-May-19,BWA,0
2021-May-19,BRA,0
2021-May-19,VGB,2
2021-May-19,BRN,0
2021-May-19,BGR,1
2021-May-19,BFA,2
2021-May-19,BDI,2
2021-May-19,KHM,0
2021-May-19,CMR,2
2021-May-19,CAN,1
2021-May-19,CPV,0
2021-May-19,CYM,2
2021-May-19,CAF,2
2021-May-19,TCD,2
2021-May-19,CHL,1
2021-May-19,CHN,0
2021-May-19,COL,0
2021-May-19,COM,2
2021-May-19,COG,0
2021-May-19,CRI,0
2021-May-19,CIV,2
2021-May-19,HRV,1
2021-May-19,CUB,0
2021-May-19,CUW,2
2021-May-19,CYP,1
2021-May-19,CZE,1
2021-May-19,COD,2
2021-May-19,DNK,1
2021-May-19,DJI,2
2021-May-19,DMA,2
2021-May-19,DOM,0
2021-May-19,ECU,0
2021-May-19,EGY,0
2021-May-19,SLV,0
2021-May-19,GNQ,2
2021-May-19,ERI,2
2021-May-19,EST,1
2021-May-19,SWZ,0
2021-May-19,ETH,2
2021-May-19,FRO,2
2021-May-19,FLK,2
2021-May-19,FJI,0
2021-May-19,FIN,0
2021-May-19,FRA,1
2021-May-19,PYF,2
2021-May-19,GAB,0
2021-May-19,GMB,2
2021-May-19,GEO,0
2021-May-19,DEU,1
2021-May-19,GHA,0
2021-May-19,GIB,2
2021-May-19,GRC,1
2021-May-19,GRL,2
2021-May-19,GRD,2
2021-May-19,GUM,2
2021-May-19,GTM,0
2021-May-19,GGY,2
2021-May-19,GIN,2
2021-May-19,GNB,2
2021-May-19,GUY,0
2021-May-19,HTI,0
2021-May-19,HND,0
2021-May-19,HKG,0
2021-May-19,HUN,1
2021-May-19,ISL,0
2021-May-19,IND,0
2021-May-19,IDN,0
2021-May-19,IRN,0
2021-May-19,IRQ,0
2021-May-19,IRL,1
2021-May-19,IMN,2
2021-May-19,ISR,1
2021-May-19,ITA,1
2021-May-19,JAM,0
2021-May-19,JPN,1
2021-May-19,JEY,2
2021-May-19,JOR,2
