Period,Country,kmeans,,,,,2020-Dec-10,2021-May-19,2022-May-13
2020-Dec-10,AFG,0,,,Brazil,BRA,1,1,2
2020-Dec-10,ALB,1,,,Russia,RUS,1,1,1
2020-Dec-10,DZA,0,,,India,IND,0,1,2
2020-Dec-10,AND,0,,,China,CHN,1,1,1
2020-Dec-10,AGO,0,,,South Africa,ZAF,0,0,0
2020-Dec-10,AIA,0,,,,,1,1,2
2020-Dec-10,ATG,0,,,,,,,
2020-Dec-10,ARG,1,,, Canada,CAN,1,1,1
2020-Dec-10,ARM,1,,, France,FRA,1,2,1
2020-Dec-10,ABW,0,,, Germany (2022 Host),GER,0,0,0
2020-Dec-10,AUS,1,,, Italy,ITA,1,1,2
2020-Dec-10,AUT,1,,, Japan,JPN,1,1,1
2020-Dec-10,AZE,1,,, United Kingdom,GBR,1,2,1
2020-Dec-10,BHS,0,,, United States,USA,1,2,1
2020-Dec-10,BHR,0,,,,,1,1,1
2020-Dec-10,BGD,0,,,,,,,
2020-Dec-10,BRB,1,,,,,,,
2020-Dec-10,BLR,1,,,,,,,
2020-Dec-10,BEL,1,,,,,,,
2020-Dec-10,BLZ,0,,,,,,,
2020-Dec-10,BEN,0,,,,,,,
2020-Dec-10,BMU,0,,,,,,,
2020-Dec-10,BTN,0,,,,,,,
2020-Dec-10,BOL,0,,,,,,,
2020-Dec-10,BES,0,,,,,,,
2020-Dec-10,BIH,1,,,,,,,
2020-Dec-10,BWA,0,,,,,,,
2020-Dec-10,BRA,1,,,,,,,
2020-Dec-10,VGB,0,,,,,,,
2020-Dec-10,BRN,0,,,,,,,
2020-Dec-10,BGR,1,,,,,,,
2020-Dec-10,BFA,0,,,,,,,
2020-Dec-10,BDI,0,,,,,,,
2020-Dec-10,KHM,0,,,,,,,
2020-Dec-10,CMR,0,,,,,,,
2020-Dec-10,CAN,1,,,,,,,
2020-Dec-10,CPV,0,,,,,,,
2020-Dec-10,CYM,0,,,,,,,
2020-Dec-10,CAF,0,,,,,,,
2020-Dec-10,TCD,0,,,,,,,
2020-Dec-10,CHL,1,,,,,,,
2020-Dec-10,CHN,1,,,,,,,
2020-Dec-10,COL,0,,,,,,,
2020-Dec-10,COM,0,,,,,,,
2020-Dec-10,COG,0,,,,,,,
2020-Dec-10,CRI,1,,,,,,,
2020-Dec-10,CIV,0,,,,,,,
2020-Dec-10,HRV,1,,,,,,,
2020-Dec-10,CUB,1,,,,,,,
2020-Dec-10,CUW,0,,,,,,,
2020-Dec-10,CYP,1,,,,,,,
2020-Dec-10,CZE,1,,,,,,,
2020-Dec-10,COD,0,,,,,,,
2020-Dec-10,DNK,1,,,,,,,
2020-Dec-10,DJI,0,,,,,,,
2020-Dec-10,DMA,0,,,,,,,
2020-Dec-10,DOM,0,,,,,,,
2020-Dec-10,ECU,0,,,,,,,
2020-Dec-10,EGY,0,,,,,,,
2020-Dec-10,SLV,0,,,,,,,
2020-Dec-10,GNQ,0,,,,,,,
2020-Dec-10,ERI,0,,,,,,,
2020-Dec-10,EST,1,,,,,,,
2020-Dec-10,SWZ,0,,,,,,,
2020-Dec-10,ETH,0,,,,,,,
